,title,upload_date,view_count,tempo_desde_pub,y,p
1402,Bboy Ratin Takes Brazil - Red Bull BC One Brazil Cypher 2015,2015-06-16,74973,2296.0,,0.497
1415,How to Breakdance | 3 Step | Footwork 101,2011-10-28,530720,3623.0,,0.488
1417,B-Boy Lil Zoo vs B-Boy Philip | Top 8 | Red Bull BC One World Final Austria 2020,2020-11-29,51336,303.0,,0.471
1437,B-Boy Lil G vs. B-Boy Shigekix | Break The Game 2020,2020-02-12,130460,594.0,,0.434
1453,B-Boy Alkolil vs B-Boy Pac Pac | Top 8 | Red Bull BC One World Final Austria 2020,2020-11-29,88986,303.0,,0.438
1456,BC One Squad vs Masters of Mayhem x Shun Murda [prelims] // stance // BBOY CITY 2021,2021-09-25,36140,3.0,,0.491
1464,DUTCH BBOY CHAMPIONSHIPS 2021 ! W/ BBoy DOMkey / BREAKDANCE SHOW /JOIN IN,2021-06-07,679,113.0,,0.492
1468,Bboy VICTOR at Freestyle Session USA 2021 // stance,2021-07-15,18987,75.0,,0.486
1472,B-Boy Lil G's BEST moments | 10 YEARS of Red Bull BC One All Stars,2021-05-03,22949,148.0,,0.438
1474,B-Boy Nord Diamond | World Bboy Classic Feature Series,2020-09-23,2438,370.0,,0.424
1476,B-Boy Neguin | World BBoy Classic feature series,2020-07-29,3226,426.0,,0.415
1492,TOP BBOY SETS OF I LOVE HIPHOP 2021!,2021-09-04,49855,24.0,,0.404
1493,B-Boy Shigekix vs B-Boy Kid Karam | Top 8 | Red Bull BC One World Final Austria 2020,2020-11-29,71630,303.0,,0.448
1495,BBoy Dotado X BBoy Dinamite | RedBull BC One Cypher Curitiba Brasil 2021,2021-10-01,7,-3.0,,0.532
1511,Bboy Kosto (RUS) vs  Bboy Jamal (RUS) | 2021 WDSF European Breaking - The Final,2021-06-27,11699,93.0,,0.401
1523,10 insane momments of BBOY KILL ever / Gamblerz crew 2021,2021-05-13,9098,138.0,,0.489
1527,DJ QBERT @ BBOY CITY XXVII [livestream] // .stance,2021-09-26,2432,2.0,,0.451
1532,ALL OF CRAZIEST bboy Vero ever/ JinJo crew,2021-06-09,1848,111.0,,0.402
1541,B-Boy Neguin's BEST moments | 10 YEARS of Red Bull BC One All Stars,2021-03-18,494806,194.0,,0.435
1547,KID RAINEN vs MORRIS [bboy finals] // stance // TEXAS BREAKIN OPEN 2021,2021-03-29,10191,183.0,,0.552
1549,bboy heady artistreet Korea BBIC Battle 2021 #shorts #bboy,2021-09-29,400,-1.0,,0.59
1550,RED BULL BC ONE NIGERIA LAGOS CYPHER  || BBOY LYRICX JUDGE SHOWCASE,2021-10-01,1628,-3.0,,0.43
1556,HD vs Ozzi / BBOY SEMI FINAL / NK Breaking 2021,2021-09-14,10893,14.0,,0.422
1560,Dj Spray - Si Me Ves Volar (Remastered) | BBOY BEAT | BreakBeat | BBOY MUSIC 2021,2021-10-01,190,-3.0,,0.517
1574,JBL Unbreakable 2021- 1vs1 Bboy Semi final Mighty Jim vs Illz,2021-09-20,4027,8.0,,0.485
1597,Taipei Bboy City Online Final Round - Lil G vs Malish,2020-10-27,21144,336.0,,0.426
1601,BBOY POCKET NEXT LEVEL 2019,2019-02-03,309515,968.0,,0.444
1603,BC One Squad vs Keep Your Dreams [top 8] // stance // BBOY CITY 2021,2021-09-28,6471,0.0,,0.471
1606,BBOY ROXRITE Recap @SECRET BATTLE Red Bull BC One Allstars get Called Out,2021-03-22,125,190.0,,0.473
1609,BBOY LILOU & BBOY MENNO Recap | Red Bull Dance Tour France,2021-06-25,881,95.0,,0.549
1617,Red bull Cypher São Paulo 2021 FINAL Bboy Luan vs Bboy Training,2021-10-02,631,-4.0,,0.484
1330,History of Breakdancing,2015-12-16,1358,2113.0,,0.015
810,nyoni & bota performing break dance #shorts #youtubeshorts  #breakdance,2021-10-02,2,-4.0,,0.013
1057,Lussy Sky vs Lil G | 3rd Place | Bboy | 2019 WDSF World Breaking Championships,2019-06-23,41059,828.0,,0.227
1411,BBOY NOODLE | Bomb Jam 2021,2021-05-17,738,134.0,,0.721
820,TOP 10 BBOY Sets VOL6 (BreakDance Compilation 2021),2021-01-22,27583,249.0,,0.231
1613,TOP 10 Suicide Moves in Breakdance,2018-03-11,12529200,1297.0,,0.298
1105,Breakdancing,2019-08-09,1234,781.0,,0.014
869,Jessica Chastain Tricks Michael Fassbender Into Breakdancing - The Graham Norton Show,2017-05-05,1193762,1607.0,,0.052
1600,Breakdance in the Sky - Crazy Highline Freestyle Moves,2021-06-09,6191,111.0,,0.113
1291,BBOY AMIR // PRACTICE SESSION,2021-09-21,1646,7.0,,0.606
1134,BREAK DANCE  BEST MOMENT 🔥🔥,2021-05-14,4486,137.0,,0.026
436,respect break dance #shorts,2021-10-03,11,-5.0,,0.015
1290,Break Dance Kar Ke Traffic Control Karne Wala Pehla Pakistani Traffic Warden,2021-06-19,1012813,101.0,,0.0
918,Breakdancing to classical music | DEVINSUPERTRAMP,2010-09-02,1228506,4044.0,,0.203
571,THE MONSTER - DJ TEE x Bboy Music Channel,2021-05-08,3662,143.0,,0.297
1255,The Lockers - Dance Routine (1975) Hip-Hop (Break Dance) Origins | Music Video 1080p,2017-08-09,117525,1511.0,,0.043
1163,BBOY MOA,2021-08-22,388,37.0,,0.196
1165,B Boy esse é fera se liga na treta,2017-07-22,709731,1529.0,,0.09
1410,TRIAL BY BREAKDANCING! | Gmod TTT,2020-09-08,323875,385.0,,0.011
1045,𝑻 𝑩𝒓𝒆𝒂𝒌 𝒅𝒂𝒏𝒄𝒆 .....,2021-10-02,2,-4.0,,0.089
1465,Breakdancing in an alley,2021-09-29,1791,-1.0,,0.181
1500,Jeremy Sim to represent Singapore as breakdancing makes debut at 2019 SEA Games,2019-11-25,3357,673.0,,0.12
1129,TOP THREE BREAKDANCING | PEOPLE ARE AWESOME,2016-03-15,205644,2023.0,,0.127
1006,The Jump Down | Learn Breakdancing for Beginners,2015-03-25,2014,2379.0,,0.104
787,Bboy Lorenzo (12 y/o) at World Bboy Classic 2018,2018-07-12,29217,1174.0,,0.656
1241,Easy Breakdancing Moves: Freestyle Breakdance Tips,2020-12-17,50,285.0,,0.063
1132,BBOY LEE | THE GOLDEN CHILD 🌟,2021-09-24,831,4.0,,0.255
933,Hershey's Chocolate Bar Breakdancing Commercial,2007-12-23,18782,5028.0,,0.001
930,Vin Diesel - How To Break Dance Video (ORIGINAL),2015-05-18,5691672,2325.0,,0.129
925,Breakdancing,2020-01-30,646,607.0,,0.023
1038,Break Dance / Capoeira - Collaboration - Street Dance Show (Amsterdam 2017),2017-05-27,37114,1585.0,,0.019
1100,Nick Offerman Break Dances (Late Night with Jimmy Fallon),2013-03-28,1483826,3106.0,,0.005
1430,5 Easy Breakdance Moves Everybody Can Learn | PART II | 𝐕𝐈𝐓𝐀𝐋𝐈𝐓𝐘,2021-01-09,20857,262.0,,0.095
1268,Bboy Victor HIGHLIGHT 🏆🏆 // BREAK FREE DAY 2021 // BFWW,2021-08-05,13508,54.0,,0.253
1169,Breakdancing Sparrow,2021-10-01,2,-3.0,,0.006
1260,Nick Offerman's Life Has Been Devoted to Breakdancing | The Tonight Show Starring Jimmy Fallon,2021-03-12,38479,200.0,,0.147
1320,Valorant | 1HP breakdancing,2021-10-01,22,-3.0,,0.006
1161,bboy Issei training #short,2021-10-03,12,-5.0,,0.346
1190,Breakdancing Has Become Big Business – And It's Heading To The Olympics | Sunday TODAY,2019-07-28,34830,793.0,,0.063
971,Breakdancing wins IOC support for 2024 Olympics in Paris,2019-06-26,3756,825.0,,0.206
598,Epic AFLAC breakdancing duck commercial,2011-07-23,130513,3720.0,,0.008
660,F1 Summer Break 2019 – Breakdancing,2019-08-12,948502,778.0,,0.042
1065,10 Years Of Breakdancing Progression | MagnusMagneto,2020-04-06,6902,540.0,,0.082
960,Top 10 Bboy Music of the Week,2016-04-24,877419,1983.0,,0.308
1463,B-Boy R One (Erwan) vs B-Boy Pac Pac  | Red Bull BC One Cypher France 2021,2021-06-02,16636,118.0,,0.611
1091,"Shaq, LeBron, Dwight Howard All-Star Dance-Off",2007-02-18,37266676,5336.0,,0.008
712,Sathi's Rakesh Master Spoof || Garam Sathi Break Dance Classes || Garam Garam Varthalu | Sakshi TV,2020-12-09,298471,293.0,,0.001
588,B-Boy Nasty vs. B-Boy Pac Pac | Red Bull BC One Cypher France 2021,2021-05-31,94939,120.0,,0.627
1206,B-Boy Nasty vs. B-Boy Luca | Red Bull BC One Cypher France 2021,2021-06-02,6618,118.0,,0.609
1148,#1 All Stars | Team no Problems by BBoy,2021-05-08,155,143.0,,0.339
1002,Breakdance Workshops in Whistler - come learn breakdancing with Robin Frindte,2020-02-18,496,588.0,,0.122
1575,OLD vs NEW | GROOVE SESSION 2017,2017-11-22,4583850,1406.0,,0.129
324,"TWICE ""MORE & MORE"" M/V TEASER *THE DANCE BREAK*",2020-05-27,10797321,489.0,,0.008
955,Beat Street Roxy Battle,2007-06-29,5131628,5205.0,,0.178
1029,My B-Boy Days,2018-03-15,9002957,1293.0,,0.057
1450,#freefire#new#break#dance#shot#video#like#share#subscribe#,2021-10-03,20,-5.0,,0.016
1323,Break Dance - Esporte olímpico,2021-07-30,236,60.0,,0.016
537,bboy gravity,2021-08-02,7200,57.0,,0.13
339,Top 10 Bboys Destrozaron el Beat en Batallas de Baile BREAK DANCe,2021-04-21,33690,160.0,,0.204
1042,Tosh.0 - Web Redemption - Breakdancer,2012-02-29,2109458,3499.0,,0.021
