,title,upload_date,view_count,tempo_desde_pub,y
172,Break dance van sipkema najaars kermis Apeldoorn,2021-10-01,12,-3.0,0
173,BBoy Dotado X BBoy bonnes | BBoy Kapu X BBoy Flash | Semifinal | RedBull BC One Curitiba Brasil 2021,2021-09-30,45,-2.0,1
174,BEST JUDGE SHOWCASE | BBOY MENNO 🇳🇱,2021-09-19,911,9.0,1
175,B-Boy Issin vs. B-Boy Sho｜Red Bull BC One Cypher Kawasaki 2021,2021-08-30,28691,29.0,1
176,BBOY FUNT Recap | Champion | Powermove Battle Combonation x3,2021-09-03,2526,25.0,0
177,Breakdance camera experimentation - B-Boys in Motion,2011-10-28,130966,3623.0,0
178,"岡村隆史 a.k.a B-BOY ""KID"" ブレイクダンス界の真のレジェンド #Shorts​​",2021-04-27,1076859,154.0,0
179,Break dancing dentist opens office in southeast Portland,2019-01-02,2544,1000.0,0
180,respect Break Dance Power Moves 💯 💪,2021-09-20,8576,8.0,0
181,respect Break Dance Power Moves 💯 💪,2021-09-23,9153,5.0,0
182,How Dave Bautista Went From Breakdancer To Movie Star | Netflix,2021-05-31,28510,120.0,0
183,Bboy Europe 2017 [Official Trailer] // Bboy World // Bboy Europe 2017,2017-07-23,50597,1528.0,0
184,7 Bboy Swipe Entries,2018-09-11,15152,1113.0,0
185,A Dedication to B-Boy T-Rock // THE KNOWLEDGE DROP | BBOY DOJO,2021-05-08,783,143.0,0
186,Watch | Japanese dancer wins breakdancing world final,2016-12-06,1364,1757.0,0
187,Bboy Mini Joe at World Bboy Classic 2018,2018-07-14,6581,1172.0,1
188,a bug breakdancing,2021-09-29,11,-1.0,0
189,Kid Dynamite Vs Lorenzo - Finals  Youth Battle - Silverback Open 2018 - Pro Breaking Tour - BNC,2018-10-31,4128292,1063.0,1
190,Break Dance Moves For Beginners - The 3 Step,2017-02-20,29594,1681.0,1
191,Breakdancing to make Olympic debut at 2024 Paris games | ITV News,2020-12-08,3124,294.0,0
192,Bboy Music // Dj Fleg & Dj Igorskee - Bboy Battle Mixtape,2020-08-10,196346,414.0,0
193,WHY BBOYS ARE BROKE -PRESENTED BY DYZEE & FLEAROCK,2021-09-28,2498,0.0,0
194,Dance Electric Violinist Highlights - Breakdancing Violinist - Hip Hop Violinist !,2016-06-07,151336,1939.0,0
195,BC ONE SQUAD VS KEEP YOUR DREAMS// TOP 8// BBOY CITY 2021//AUSTIN TX//#DJBLESSONE,2021-10-02,134,-4.0,1
196,Electro Rock vs TKO,2007-04-08,27035248,5287.0,0
197,Back To The 80s  Old Skool Breakdance Mix,2021-03-08,53168,204.0,0
198,Breakdancing jew,2017-01-25,95,1707.0,0
199,Unbelievable 6 Year Old Girl Break Dancing,2013-03-04,11169878,3130.0,0
200,Freestyle Football & Breakdancing filmed with ultraLUUV & GoPro,2016-10-06,64,1818.0,0
201,Bboy Music Mixtape 2019/02/14,2019-02-14,1218649,957.0,0
202,The Best Electro Freestyle Mix 3 (Volt | Amazing Break Dance),2021-03-25,169458,187.0,0
203,free fire luck Royal bundle character magic Kyun break dance bundle please subscribe my YouTube,2021-10-02,5,-4.0,0
204,#BBoy Final Battle | Flying Machine Vs Wildchild | Red Bull Bc One 2021 - India Cypher,2021-09-04,6764,24.0,1
205,freez #bboying #bboy #dance,2021-10-02,5,-4.0,0
206,Jennie - Solo Dance Break transition from Dance Practice to The Show,2021-02-09,1966932,231.0,0
207,Jabbawockeez at World of Dance Bay Area 2014,2014-08-18,49720560,2598.0,0
208,The Most Memorable Breakdancing Movies of All Time,2021-01-21,737,250.0,0
209,BBOY ISSIN (Body Carnival/Okayama) Recap | Red Bull BC One Cypher Kawasaki 2021,2021-08-31,4185,28.0,1
210,bboy. tutorial break dance,2021-10-02,5,-4.0,0
211,Ji Changmin's Thrill Ride Break Dance at TMA 2021,2021-10-02,33,-4.0,0
212,bboy cyga power move variation,2021-09-05,115,23.0,0
213,Breakdance Final BATTLE 2012      USA vs Jinjo Crew KOREA _ R16 bboy,2012-10-10,5062596,3275.0,1
214,Bboy Issin at Red Bull BC One Kawasaki City Cypher 2021 │ FEworks,2021-09-03,9108,25.0,1
215,BBOY PHIL WIZARD Recap | Canada Dance Sport National Qualifier 2021,2021-08-15,394,44.0,1
216,Meet Hero: the BREAKDANCING Dog! 🐶 Nickelodeon's Unleashed,2020-11-16,52630,316.0,0
217,Popping cat 🔥🔥🔥🐕❤️ #shorts #dance #cats #breakdance #popping,2021-09-30,295,-2.0,0
218,"TRICKING vs BREAKDANCING vs PARKOUR | Ido Portal on B-boying, Hip Hop & Free Running | London Real",2017-08-08,38524,1512.0,0
219,bboy zoopreme musicality 2021,2021-08-01,4763,58.0,1
220,BREAKDANCING PRIESTS AT #SEEK2017,2017-02-08,4510,1693.0,0
221,Ill Kidz vs DTown Push [all styles - top 8] // stance // BBOY CITY 2021,2021-09-30,1314,-2.0,0
222,Men Whitout Hats - Safety Dance Remix - Robot Dance Vs. Break Dance,2017-11-07,12407141,1421.0,0
223,New Generation #bboy #hiphop #breakdance #bboyworld #newgeneration,2021-09-30,792,-2.0,0
224,B-Boy Menno vs. B-Boy Alkolil | BREAK THE GAME | Season 6,2021-04-16,105626,165.0,1
225,How to Windmill by Breakdancing Ninja,2012-01-05,46695,3554.0,0
226,BC ONE SQUAD VS HAVIKORO//BBOY CITY 2021 AUSTIN TX//CREW VS CREW FINALS// #DJBLESSONE,2021-09-27,5024,1.0,1
227,How to Knee Switch (Hip Hop Dance Moves Tutorial: Breakdance) | Mihran Kirakosian,2016-09-30,148023,1824.0,0
228,СУМАСШЕДШИЙ ПАРЕНЬ BBOY LUSSY SKY,2018-06-23,7822028,1193.0,0
229,"New Politics - ""Harlem"" LIVE (+ Breakdancing!) at Billboard's Studio",2013-08-22,112730,2959.0,0
230,How To Sweep Breaking Dance Tutorial with Neguin | Break Advice: The Fundamentals,2018-09-02,23368,1122.0,0
231,Breakdance The Movie [AKA: Breakin'] Original Movie Trailer [1984],2011-03-21,63911,3844.0,0
232,Taught the girl how to do Flares - BreakDance Step-by-Step,2021-09-30,38674,-2.0,0
233,K-POP RANDOM DANCE | BREAK DANCE/ENDING 2021,2021-07-21,12459,69.0,0
234,"HARDER, BETTER, FASTER, STRONGER",2018-09-22,2911882,1102.0,0
235,Korean Breakdancing World Championships - R16,2010-07-06,158636,4102.0,0
236,Bboy Music mixtape breakdance Hip Hop Break dance nueva Musica Beats mix 2021 BBoyMusic breaking,2021-05-04,376,147.0,0
237,"Bboy Lagaet, Momentum • 2020 Trailer",2020-08-05,19168,419.0,1
238,😱😱#Break Dance# 😱😱,2021-10-02,3,-4.0,0
239,John gets shot for illegal breakdancing,2021-07-27,46,63.0,0
240,break dance bundle easy is a my game,2021-10-02,4,-4.0,0
241,DEF CUT - Come on : Bboy Track Choreography,2018-12-28,44398,1005.0,0
242,break dance edit ||Roblox||,2021-09-30,930,-2.0,0
243,BREAKDANCING IN BRAZIL,2017-11-29,888,1399.0,1
244,"BUSTA RHYMES on making his debut single ‘Woo Hah’ , Breakdancing as a kid Living in the UK, ELE2",2020-11-12,418,320.0,0
245,Criollo Style Battle Pro Final 1vs1 Final BABY Lil E VS Alexis 2018,2018-10-21,72726749,1073.0,0
246,ImDontai Reacts To DOJA CAT Breakdancing,2021-02-15,64840,225.0,0
247,BREAKDANCE - TOP 10 BEST SETS OF THE YEAR,2011-12-13,2261652,3577.0,1
248,Break Machine - Break Dance Party,2009-02-04,538052,4619.0,0
249,ayo what sakuya breakdancing,2021-10-01,24,-3.0,0
250,BBOY ZEKU vs. GRAVITY // Space City Classic 2021 // MAIN CAMERA // FINALS,2021-03-08,85898,204.0,1
251,Focus on Jimin Breakdance #butter #bts  #jimin #jiminah,2021-09-28,2021,0.0,0
252,"Jake Paul's Open Workout Of Yoga & Breakdancing As Tyron Woodley, Tommy Fury & Daniel Dubois Train",2021-08-26,61337,33.0,0
253,Breakdancing is coming to the Olympics,2020-12-08,14765,294.0,0
254,The Breakdancing Teacher,2014-03-10,72243,2759.0,0
255,Breakdance We Gonna Rock It [HD],2015-04-15,708318,2358.0,0
256,vartika jha with sanchit best break dance || super dancer 4,2021-04-13,1045012,168.0,0
257,Johnny Ahn  - Breakdancing Reel,2015-11-24,502,2135.0,0
258,Bboy Lilou & bboy Lagaet vs bboy Menoo & bboy North Diamond // final //UDS 2021 HD,2021-07-31,4116,59.0,1
259,"Yes, this really is Prince Charles breakdancing in 1985!",2019-02-21,79320,950.0,0
260,B-boy Lil G 2021,2021-03-22,2903,190.0,0
261,Breakdancing- Sweet Lu,2013-11-11,1471,2878.0,0
262,BBOY SMIGLOCK VS BBOY DNILSON(RED BULL BC ONE FORTALEZA 2021),2021-09-12,470,16.0,0
263,Bboy Lil G at World Bboy Classic 2018,2018-07-12,26280,1174.0,0
264,Theron Guard BREAKDANCING! (Hilarious),2010-04-14,15737,4185.0,0
265,Routine Fire #bboy #breakdance #hiphop #bboyworld,2021-10-02,505,-4.0,0
266,Best Moments of World BBoy Classic,2015-03-18,61120,2386.0,0
267,WE MADE THE FRONT PAGE OF THE EVENING STANDARD! BREAKDANCING EX-BANKER FOR YOUR NEXT MAYOR 👀👊🇬🇧,2021-04-14,6735,167.0,0
268,Breakdance 1984 Break Dance TOP,2008-11-30,1087590,4685.0,0
269,practice to toprock 🙃 #like #youtube #bboynickindia #breaking #bboying #breakdance #bboy #practise,2021-10-03,3,-5.0,1
270,How to Start Breakdance - 1 STEP TUTORIAL,2019-09-20,13536,739.0,1
271,BBOY PALMER Recap | Red Bull BC One Cypher Houston 2021,2021-08-16,705,43.0,0
272,Fik-Shun | FRONTROW | World of Dance Hawaii 2016 | #WODHI16,2016-01-28,45604522,2070.0,0
273,How to Do a No-Handed Windmill | Break Dancing,2013-05-16,116316,3057.0,0
274,Stuttgart Breakdancing - Hand Spinning,2012-10-22,7733,3263.0,0
275,FURSUIT BREAKDANCING || Anthro Northwest 2019 Vlog,2019-12-04,68886,664.0,0
276,Gecko Zen starts breakdancing,2021-05-04,68638,147.0,0
277,Bboy Battle 2021| Breakin'Vasion After Jam | Keep It Raw | Hip Hop India | Day 1 | New Delhi | P16,2021-10-03,4,-5.0,1
278,The Replacements  -Breakdancing In The Slime  -(Dan Baird),2021-06-24,7258,96.0,0
279,Michael Jackson's Best Dance Breaks,2017-05-24,2911689,1588.0,0
280,RECAP *BBOY FARHAN* || HIP FEST INDO QUALIFIER 2019,2021-08-17,287,42.0,0
281,//How to claim Break Dance Bande //In free fire//Best video for my all friends//sk gamer //,2021-10-03,2,-5.0,0
282,BBOY SHIGEKIX | YOUNG GUN 🇯🇵,2021-09-26,1060,2.0,1
283,Break dance terbaik dunia! AMAZING,2016-09-10,503756,1844.0,0
284,"Ryu from the Streets Breakdancing to ""SFIII: Third Strike - Character Selection Theme""",2021-05-31,20,120.0,0
285,Dj Zapy & Dj UraGun - Boom Bap Appeal Vol. 2 2021 | Bboy Music 4 Life 2020,2020-12-12,38597,290.0,0
286,JEFFRO vs. DOUG // BREAK X GRAND JAM 2021 // BBOY SEMIFINALS,2021-04-20,32576,161.0,0
287,US got talent Break Dance,2012-05-30,10283503,3408.0,0
288,தலைவர் முன் BREAK DANCE! Positive Facts of the much Loved King Kong!,2020-01-03,276622,634.0,0
289,Duo Alex & Felice - Acrobatic Dance | DDC Breakdance,2017-12-27,8408620,1371.0,0
